Tumor_Sample_Barcode,Group,Is_B2M_Deleted
CPT001846,High Silencing,True
X01BR001,High Silencing,True
X01BR008,High Silencing,False
X01BR015,Low Silencing,True
X01BR018,Low Silencing,True
X01BR020,Low Silencing,False
X01BR023,Low Silencing,False
X01BR025,High Silencing,False
X01BR040,Low Silencing,True
X01BR043,High Silencing,False
X03BR005,Low Silencing,False
X03BR013,Low Silencing,False
X05BR001,High Silencing,False
X05BR004,Low Silencing,False
X05BR026,High Silencing,False
X05BR042,High Silencing,True
X05BR044,High Silencing,False
X06BR014,Low Silencing,True
X09BR001,High Silencing,True
X11BR004,High Silencing,False
X11BR010,Low Silencing,False
X11BR011,Low Silencing,True
X11BR012,High Silencing,True
X11BR014,High Silencing,False
X11BR015,High Silencing,True
X11BR017,High Silencing,True
X11BR019,High Silencing,True
X11BR023,Low Silencing,False
X11BR024,Low Silencing,False
X11BR025,High Silencing,True
X11BR030,Low Silencing,False
X11BR032,Low Silencing,False
X11BR036,High Silencing,True
X11BR038,Low Silencing,False
X11BR040,High Silencing,False
X11BR047,Low Silencing,False
X11BR049,Low Silencing,False
X11BR051,High Silencing,False
X11BR054,Low Silencing,False
X11BR055,Low Silencing,False
X11BR056,Low Silencing,True
X11BR058,Low Silencing,True
X11BR059,Low Silencing,False
X11BR060,High Silencing,True
X11BR073,High Silencing,True
X11BR074,Low Silencing,False
X11BR075,Low Silencing,True
X14BR005,High Silencing,False
X14BR008,Low Silencing,False
X14BR014,High Silencing,False
X16BR012,Low Silencing,True
X18BR006,Low Silencing,True
X18BR007,High Silencing,True
X18BR010,High Silencing,False
X18BR016,Low Silencing,False
X18BR017,High Silencing,False
X20BR001,High Silencing,False
X20BR007,High Silencing,True
X20BR008,High Silencing,False
X21BR002,Low Silencing,False
X22BR005,High Silencing,False
X22BR006,Low Silencing,False
